order_id,order_item_id,existing_profit,calculated_profit,difference,existing_margin,calculated_margin,existing_roi,calculated_roi
113-5125462-4651418,9343,143.88,-8.90,-152.78,96.75,-5.27,2972.73,NULL
113-5322177-9353824,9542,109.65,0.00,-109.65,78.88,0.00,None,NULL
114-9021098-3223429,9356,46.13,-6.64,-52.77,90.5,-11.07,953.1,NULL
114-8920225-7926625,8571,-8.5,0.00,8.50,None,NULL,None,NULL
114-1328166-0179444,9321,164.74,-10.38,-175.12,97.39,-5.22,3735.6,NULL
113-6194429-2077835,1112,-7.69,0.00,7.69,None,NULL,None,NULL
111-7887713-8719426,6062,71.28,0.00,-71.28,None,0.00,None,NULL
114-9140276-1153039,6064,71.28,0.00,-71.28,None,0.00,None,NULL
112-8924989-1331406,6070,191.39,0.00,-191.39,None,0.00,None,NULL
111-2766337-0709815,9937,647.34,0.00,-647.34,85.43,0.00,None,NULL
113-6866527-3943442,7978,67.73,0.00,-67.73,64.93,0.00,None,NULL
112-4726996-5841055,6065,147.3,0.00,-147.30,87.82,0.00,None,NULL
111-0938085-2437808,9543,26.4,0.00,-26.40,66.05,0.00,None,NULL
113-1779706-3115437,1033,-13.48,-6.24,7.24,0.0,NULL,-304.29,NULL
113-7454219-1942610,9034,97.2,-16.53,-113.73,27.31,-4.09,37.58,-6.56
111-6653587-0028251,6114,26.14,0.00,-26.14,9.83,0.00,13.07,0.00
112-8465992-5121061,971,8.94,-6.78,-15.72,22.04,-16.72,35.0,-33.93
112-3799811-2448266,6136,-135.81,-126.64,9.17,-60.79,-56.69,-40.62,-38.95
112-8078213-8305023,1108,-4.11,0.00,4.11,None,NULL,None,NULL
113-6487649-6344243,1086,-33.65,-10.39,23.26,0.0,NULL,-734.72,NULL
113-9571004-2504239,1158,-79.1,-19.40,59.70,0.0,NULL,-1769.57,NULL
112-2181912-8721800,1205,27.05,-10.27,-37.32,33.82,-12.84,62.41,-29.35
112-9860658-7614636,6160,112.01,0.00,-112.01,None,0.00,None,NULL
113-1463418-0521817,6166,13.84,0.00,-13.84,None,0.00,None,NULL
112-7892889-3388218,6168,13.84,0.00,-13.84,None,0.00,None,NULL
112-6880488-2829042,6169,13.84,0.00,-13.84,None,0.00,None,NULL
112-8440171-4380259,6170,13.84,0.00,-13.84,None,0.00,None,NULL
113-0098991-7823403,6171,13.84,0.00,-13.84,None,0.00,None,NULL
112-4731893-7381013,6172,13.84,0.00,-13.84,None,0.00,None,NULL
112-9695102-1457831,6173,13.84,0.00,-13.84,None,0.00,None,NULL
114-4191906-3042660,6174,13.84,0.00,-13.84,None,0.00,None,NULL
113-1150856-3537815,6176,13.84,0.00,-13.84,None,0.00,None,NULL
112-8010960-1866603,6167,69.19,0.00,-69.19,85.0,0.00,None,NULL
112-4558125-0725049,6177,13.84,0.00,-13.84,None,0.00,None,NULL
111-3492884-3538667,6175,69.19,0.00,-69.19,85.0,0.00,None,NULL
112-2650728-5133022,6178,13.84,0.00,-13.84,None,0.00,None,NULL
111-7575566-7998600,6179,13.84,0.00,-13.84,None,0.00,None,NULL
112-2528858-3533851,6183,9.4,0.00,-9.40,None,0.00,None,NULL
113-3801518-8477050,6184,9.4,0.00,-9.40,None,0.00,None,NULL
113-5881831-7091433,6185,9.4,0.00,-9.40,None,0.00,None,NULL
112-4209676-8157825,6186,30.42,0.00,-30.42,None,0.00,None,NULL
